branch,controller,price_mode,formal_status,deployable,total_cost_yuan,normal_or_base_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_energy_kwh,terminal_soc_kwh,future_price_leak_count,hard_gate,official_workbook
Q4-2,Q80_P2,CAUSAL_LAG7,PRIMARY_FORMAL,YES,19573328.548727922,13942442.588470452,,5630885.96025747,1051947.2725126084,1200.0,0,PASS,result4-2.xlsx
Q4-2,Q80_P2,ORACLE_DIAGNOSTIC,DIAGNOSTIC_ONLY,NO,19468177.855644293,13782876.238300033,,5685301.61734426,1070052.8539235464,1200.0,N/A,PASS_DIAGNOSTIC,none
Q4-3,B1B_PRIMARY_L1_MAE_W28_H14,CAUSAL_LAG7,PRIMARY_FORMAL,YES,15865665.795889169,13050650.153093494,380123.5668109117,2434892.075984764,549309.8552363036,1290.6538318518542,0,PASS,result4-3.xlsx
Q4-3,B1B_PRIMARY_L1_MAE_W28_H14,ORACLE_DIAGNOSTIC,DIAGNOSTIC_ONLY,NO,15788114.285712428,12892106.595084272,357752.67428731394,2538255.0163408425,588399.4295734286,1335.7305868518538,N/A,PASS_DIAGNOSTIC,none
